カテゴリー,分類群,vernacularName,学名,id,language,locality,countryCode,source,lexicon,contributor,created,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references
絶滅（EX）,維管束植物,ホソバノキミズ,Elatostema lineolatum var. majus,713641,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-02-11T12:07:28Z,https://www.inaturalist.org/taxa/713641,https://www.inaturalist.org/taxa/713641,https://www.inaturalist.org/taxa/328095,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Elatostema,lineolatum,"",2020-08-19T14:27:18Z,Elatostema lineolatum,species,www.theplantlist.org
絶滅（EX）,維管束植物,カラクサキンポウゲ,Ranunculus gmelinii,167724,ja,Japan,JP,"Yonekura, K., & Kajita, T. (2003). BG Plants Wamei-Gakumei Index. (http://ylist.info/index.html)",Japanese,Ken-ichi Ueda,2020-06-16T00:24:19Z,https://www.inaturalist.org/taxa/167724,https://www.inaturalist.org/taxa/167724,https://www.inaturalist.org/taxa/48230,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,gmelinii,"",2019-06-18T07:29:00Z,Ranunculus gmelinii,species,http://www.natureserve.org/explorer/servlet/NatureServe?searchName=Ranunculus+gmelinii
絶滅（EX）,維管束植物,ツクシアキツルイチゴ,Rubus hatsushimae,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,ソロハギ,Flemingia strobilifera,163033,ja,Japan,JP,"",Japanese,Takaaki Hattori,2020-03-31T04:18:36Z,https://www.inaturalist.org/taxa/163033,https://www.inaturalist.org/taxa/163033,https://www.inaturalist.org/taxa/142398,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Flemingia,strobilifera,"",2019-12-16T10:17:46Z,Flemingia strobilifera,species,http://www.natureserve.org/explorer/servlet/NatureServe?searchName=Flemingia+strobilifera
絶滅（EX）,維管束植物,サガミメドハギ,Lespedeza hisauchii,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,オオミコゴメグサ,Euphrasia insignis subsp. insignis var. omiensis,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,マツラコゴメグサ,Euphrasia insignis subsp. insignis var. pubigera,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,クモイコゴメグサ,Euphrasia multifolia var. kirisimana,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,トヨシマアザミ,Cirsium toyoshimae,,,,,,,,,,,,,,,,,,,,,,,
絶滅（EX）,維管束植物,ヒメソクシンラン,Aletris makiyataroi,,,,,,,,,,,,,,,,,,,,,,,
