カテゴリー,分類群,和名,学名
絶滅（EX）,維管束植物,ホソバノキミズ,Elatostema lineolatum var. majus
絶滅（EX）,維管束植物,カラクサキンポウゲ,Ranunculus gmelinii
絶滅（EX）,維管束植物,ツクシアキツルイチゴ,Rubus hatsushimae
絶滅（EX）,維管束植物,ソロハギ,Flemingia strobilifera
絶滅（EX）,維管束植物,サガミメドハギ,Lespedeza hisauchii
絶滅（EX）,維管束植物,オオミコゴメグサ,Euphrasia insignis subsp. insignis var. omiensis
絶滅（EX）,維管束植物,マツラコゴメグサ,Euphrasia insignis subsp. insignis var. pubigera
絶滅（EX）,維管束植物,クモイコゴメグサ,Euphrasia multifolia var. kirisimana
絶滅（EX）,維管束植物,トヨシマアザミ,Cirsium toyoshimae
絶滅（EX）,維管束植物,ヒメソクシンラン,Aletris makiyataroi
絶滅（EX）,維管束植物,ミドリシャクジョウ,Burmannia coelestris
絶滅（EX）,維管束植物,キリシマタヌキノショクダイ,Thismia tuberculata
絶滅（EX）,維管束植物,タカノホシクサ,Eriocaulon cauliferum
絶滅（EX）,維管束植物,タチガヤツリ,Cyperus diaphanus
絶滅（EX）,維管束植物,ホクトガヤツリ,Cyperus procerus
絶滅（EX）,維管束植物,チャイロテンツキ,Fimbristylis leptoclada var. takamineana
絶滅（EX）,維管束植物,イシガキイトテンツキ,Fimbristylis pauciflora
絶滅（EX）,維管束植物,タイワンアオイラン,Acanthephippium striatum
絶滅（EX）,維管束植物,ツクシサカネラン,Neottia kiusiana
絶滅（EX）,維管束植物,ツシマラン,Odontochilus poilanei
絶滅（EX）,維管束植物,ジンヤクラン,Renanthera labrosa
絶滅（EX）,維管束植物,ムニンキヌラン,Zeuxine boninensis
絶滅（EX）,維管束植物,コウヨウザンカズラ,Lycopodium cunninghamioides
絶滅（EX）,維管束植物,タカネハナワラビ,Botrychium boreale
絶滅（EX）,維管束植物,イオウジマハナヤスリ,Ophioglossum parvifolium
絶滅（EX）,維管束植物,オオイワヒメワラビ,Hypolepis tenuifolia
絶滅（EX）,維管束植物,ウスバシダモドキ,Tectaria dissecta
絶滅（EX）,維管束植物,ヒトツバノキシノブ,Pyrrosia angustissima
野生絶滅（EW）,維管束植物,コブシモドキ,Magnolia pseudokobus
野生絶滅（EW）,維管束植物,ツクシカイドウ,Malus hupehensis
野生絶滅（EW）,維管束植物,リュウキュウベンケイ,Kalanchoe spathulata
野生絶滅（EW）,維管束植物,ナルトオウギ,Astragalus sikokianus
野生絶滅（EW）,維管束植物,オリヅルスミレ,Viola stoloniflora
野生絶滅（EW）,維管束植物,ムジナノカミソリ,Lycoris sanguinea var. koreana
野生絶滅（EW）,維管束植物,コシガヤホシクサ,Eriocaulon heleocharioides
野生絶滅（EW）,維管束植物,キノエササラン,Liparis uchiyamae
野生絶滅（EW）,維管束植物,ハイミミガタシダ,Thelypteris aurita
野生絶滅（EW）,維管束植物,コバヤシカナワラビ,Arachniodes yasu-inouei var. angustipinnula
野生絶滅（EW）,維管束植物,シビイタチシダ,Dryopteris shibipedis
絶滅危惧IA類（CR）,維管束植物,ミドリアカザ,Chenopodium bryoniifolium
絶滅危惧IA類（CR）,維管束植物,イワアカザ,Chenopodium gracilispicum
絶滅危惧IA類（CR）,維管束植物,エゾマメヤナギ,Salix nummularia
絶滅危惧IA類（CR）,維管束植物,アポイカンバ,Betula apoiensis
絶滅危惧IA類（CR）,維管束植物,サキシマエノキ,Celtis biondii var. insularis
絶滅危惧IA類（CR）,維管束植物,オオヤマイチジク,Ficus iidaiana
絶滅危惧IA類（CR）,維管束植物,オガサワラグワ,Morus boninensis
絶滅危惧IA類（CR）,維管束植物,アマミサンショウソウ,Elatostema oshimense
絶滅危惧IA類（CR）,維管束植物,ヒメトキホコリ,Elatostema yakushimense
絶滅危惧IA類（CR）,維管束植物,ヨナクニトキホコリ,Elatostema yonakuniense
絶滅危惧IA類（CR）,維管束植物,トウカテンソウ,Nanocnide pilosa
絶滅危惧IA類（CR）,維管束植物,セキモンウライソウ,Procris boninensis
絶滅危惧IA類（CR）,維管束植物,ナンブトラノオ,Bistorta hayachinensis
絶滅危惧IA類（CR）,維管束植物,ダイトウサクラタデ,Persicaria japonica var. taitoinsularis
絶滅危惧IA類（CR）,維管束植物,エゾタカネツメクサ,Minuartia arctica var. arctica
絶滅危惧IA類（CR）,維管束植物,チシマツメクサ,Sagina saginoides
絶滅危惧IA類（CR）,維管束植物,アポイマンテマ,Silene repens var. apoiensis
絶滅危惧IA類（CR）,維管束植物,トカチビランジ,Silene tokachiensis
絶滅危惧IA類（CR）,維管束植物,タカネマンテマ,Silene uralensis
絶滅危惧IA類（CR）,維管束植物,カンチヤチハコベ,Stellaria calycantha
絶滅危惧IA類（CR）,維管束植物,オオイワツメクサ,Stellaria nipponica var. yezoensis
絶滅危惧IA類（CR）,維管束植物,インドヒモカズラ,Deeringia polysperma
絶滅危惧IA類（CR）,維管束植物,クロボウモドキ,Polyalthia liukiuensis
絶滅危惧IA類（CR）,維管束植物,イトスナヅル,Cassytha glabella
絶滅危惧IA類（CR）,維管束植物,テングノハナ,Illigera luzonensis
絶滅危惧IA類（CR）,維管束植物,イイデトリカブト,Aconitum iidemontanum
絶滅危惧IA類（CR）,維管束植物,コウライブシ,Aconitum jaluense subsp. jaluense
絶滅危惧IA類（CR）,維管束植物,イヤリトリカブト,Aconitum japonicum subsp. maritimum var. iyariense
絶滅危惧IA類（CR）,維管束植物,キタダケトリカブト,Aconitum kitadakense
絶滅危惧IA類（CR）,維管束植物,オンタケブシ,Aconitum metajaponicum
絶滅危惧IA類（CR）,維管束植物,オオサワトリカブト,Aconitum senanense subsp. senanense var. isidzukae
絶滅危惧IA類（CR）,維管束植物,キリギシソウ,Callianthemum kirigishiense
絶滅危惧IA類（CR）,維管束植物,ヒダカソウ,Callianthemum miyabeanum
